model,picture,judge,round,criterion,score
Sonar,cookie_theft,Llama3.1,1,Ph,5
Sonar,cookie_theft,Llama3.1,1,G,5
Sonar,cookie_theft,Llama3.1,1,S,5
Sonar,cookie_theft,Llama3.1,1,W,5
Sonar,cookie_theft,Llama3.1,1,Pr,5
Claude Sonnet 4.5,cookie_theft,Llama3.1,1,Ph,5
Claude Sonnet 4.5,cookie_theft,Llama3.1,1,G,5
Claude Sonnet 4.5,cookie_theft,Llama3.1,1,S,5
Claude Sonnet 4.5,cookie_theft,Llama3.1,1,W,5
Claude Sonnet 4.5,cookie_theft,Llama3.1,1,Pr,5
Grok 4.1,cookie_theft,Llama3.1,1,Ph,5
Grok 4.1,cookie_theft,Llama3.1,1,G,4
Grok 4.1,cookie_theft,Llama3.1,1,S,4
Grok 4.1,cookie_theft,Llama3.1,1,W,5
Grok 4.1,cookie_theft,Llama3.1,1,Pr,5
Gemini 3 Flash,cookie_theft,Llama3.1,1,Ph,5
Gemini 3 Flash,cookie_theft,Llama3.1,1,G,4
Gemini 3 Flash,cookie_theft,Llama3.1,1,S,5
Gemini 3 Flash,cookie_theft,Llama3.1,1,W,5
Gemini 3 Flash,cookie_theft,Llama3.1,1,Pr,5
GPT-5.2,cookie_theft,Llama3.1,1,Ph,5
GPT-5.2,cookie_theft,Llama3.1,1,G,4
GPT-5.2,cookie_theft,Llama3.1,1,S,4
GPT-5.2,cookie_theft,Llama3.1,1,W,5
GPT-5.2,cookie_theft,Llama3.1,1,Pr,5
Sonar,cookie_theft,Llama3.1,2,Ph,5
Sonar,cookie_theft,Llama3.1,2,G,5
Sonar,cookie_theft,Llama3.1,2,S,5
Sonar,cookie_theft,Llama3.1,2,W,5
Sonar,cookie_theft,Llama3.1,2,Pr,5
Claude Sonnet 4.5,cookie_theft,Llama3.1,2,Ph,5
Claude Sonnet 4.5,cookie_theft,Llama3.1,2,G,5
Claude Sonnet 4.5,cookie_theft,Llama3.1,2,S,4
Claude Sonnet 4.5,cookie_theft,Llama3.1,2,W,5
Claude Sonnet 4.5,cookie_theft,Llama3.1,2,Pr,5
Grok 4.1,cookie_theft,Llama3.1,2,Ph,4
Grok 4.1,cookie_theft,Llama3.1,2,G,5
Grok 4.1,cookie_theft,Llama3.1,2,S,5
Grok 4.1,cookie_theft,Llama3.1,2,W,5
Grok 4.1,cookie_theft,Llama3.1,2,Pr,5
Gemini 3 Flash,cookie_theft,Llama3.1,2,Ph,4
Gemini 3 Flash,cookie_theft,Llama3.1,2,G,5
Gemini 3 Flash,cookie_theft,Llama3.1,2,S,5
Gemini 3 Flash,cookie_theft,Llama3.1,2,W,5
Gemini 3 Flash,cookie_theft,Llama3.1,2,Pr,5
GPT-5.2,cookie_theft,Llama3.1,2,Ph,5
GPT-5.2,cookie_theft,Llama3.1,2,G,5
GPT-5.2,cookie_theft,Llama3.1,2,S,5
GPT-5.2,cookie_theft,Llama3.1,2,W,5
GPT-5.2,cookie_theft,Llama3.1,2,Pr,5
Sonar,cookie_theft,Llama3.1,3,Ph,5
Sonar,cookie_theft,Llama3.1,3,G,5
Sonar,cookie_theft,Llama3.1,3,S,5
Sonar,cookie_theft,Llama3.1,3,W,5
Sonar,cookie_theft,Llama3.1,3,Pr,5
Claude Sonnet 4.5,cookie_theft,Llama3.1,3,Ph,5
Claude Sonnet 4.5,cookie_theft,Llama3.1,3,G,5
Claude Sonnet 4.5,cookie_theft,Llama3.1,3,S,5
Claude Sonnet 4.5,cookie_theft,Llama3.1,3,W,5
Claude Sonnet 4.5,cookie_theft,Llama3.1,3,Pr,5
Grok 4.1,cookie_theft,Llama3.1,3,Ph,5
Grok 4.1,cookie_theft,Llama3.1,3,G,5
Grok 4.1,cookie_theft,Llama3.1,3,S,5
Grok 4.1,cookie_theft,Llama3.1,3,W,5
Grok 4.1,cookie_theft,Llama3.1,3,Pr,5
Gemini 3 Flash,cookie_theft,Llama3.1,3,Ph,4
Gemini 3 Flash,cookie_theft,Llama3.1,3,G,5
Gemini 3 Flash,cookie_theft,Llama3.1,3,S,4
Gemini 3 Flash,cookie_theft,Llama3.1,3,W,5
Gemini 3 Flash,cookie_theft,Llama3.1,3,Pr,5
GPT-5.2,cookie_theft,Llama3.1,3,Ph,5
GPT-5.2,cookie_theft,Llama3.1,3,G,5
GPT-5.2,cookie_theft,Llama3.1,3,S,5
GPT-5.2,cookie_theft,Llama3.1,3,W,5
GPT-5.2,cookie_theft,Llama3.1,3,Pr,5
Sonar,cookie_theft,Llama3.1,4,Ph,4
Sonar,cookie_theft,Llama3.1,4,G,5
Sonar,cookie_theft,Llama3.1,4,S,5
Sonar,cookie_theft,Llama3.1,4,W,4
Sonar,cookie_theft,Llama3.1,4,Pr,5
Claude Sonnet 4.5,cookie_theft,Llama3.1,4,Ph,5
Claude Sonnet 4.5,cookie_theft,Llama3.1,4,G,5
Claude Sonnet 4.5,cookie_theft,Llama3.1,4,S,5
Claude Sonnet 4.5,cookie_theft,Llama3.1,4,W,5
Claude Sonnet 4.5,cookie_theft,Llama3.1,4,Pr,5
Grok 4.1,cookie_theft,Llama3.1,4,Ph,5
Grok 4.1,cookie_theft,Llama3.1,4,G,5
Grok 4.1,cookie_theft,Llama3.1,4,S,5
Grok 4.1,cookie_theft,Llama3.1,4,W,5
Grok 4.1,cookie_theft,Llama3.1,4,Pr,5
Gemini 3 Flash,cookie_theft,Llama3.1,4,Ph,5
Gemini 3 Flash,cookie_theft,Llama3.1,4,G,5
Gemini 3 Flash,cookie_theft,Llama3.1,4,S,5
Gemini 3 Flash,cookie_theft,Llama3.1,4,W,5
Gemini 3 Flash,cookie_theft,Llama3.1,4,Pr,5
GPT-5.2,cookie_theft,Llama3.1,4,Ph,4
GPT-5.2,cookie_theft,Llama3.1,4,G,5
GPT-5.2,cookie_theft,Llama3.1,4,S,5
GPT-5.2,cookie_theft,Llama3.1,4,W,5
GPT-5.2,cookie_theft,Llama3.1,4,Pr,5
Sonar,cookie_theft,Llama3.1,5,Ph,4
Sonar,cookie_theft,Llama3.1,5,G,5
Sonar,cookie_theft,Llama3.1,5,S,5
Sonar,cookie_theft,Llama3.1,5,W,5
Sonar,cookie_theft,Llama3.1,5,Pr,5
Claude Sonnet 4.5,cookie_theft,Llama3.1,5,Ph,4
Claude Sonnet 4.5,cookie_theft,Llama3.1,5,G,4
Claude Sonnet 4.5,cookie_theft,Llama3.1,5,S,4
Claude Sonnet 4.5,cookie_theft,Llama3.1,5,W,5
Claude Sonnet 4.5,cookie_theft,Llama3.1,5,Pr,5
Grok 4.1,cookie_theft,Llama3.1,5,Ph,5
Grok 4.1,cookie_theft,Llama3.1,5,G,5
Grok 4.1,cookie_theft,Llama3.1,5,S,5
Grok 4.1,cookie_theft,Llama3.1,5,W,5
Grok 4.1,cookie_theft,Llama3.1,5,Pr,5
Gemini 3 Flash,cookie_theft,Llama3.1,5,Ph,5
Gemini 3 Flash,cookie_theft,Llama3.1,5,G,5
Gemini 3 Flash,cookie_theft,Llama3.1,5,S,5
Gemini 3 Flash,cookie_theft,Llama3.1,5,W,5
Gemini 3 Flash,cookie_theft,Llama3.1,5,Pr,5
